,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
198,11,110,672,Female,Outer Regional Australia,46
199,11,110,672,Male,Outer Regional Australia,46
201,10,100,600,Male,Inner Regional Australia,55
202,13,110,809,Male,Outer Regional Australia,67
204,11,100,660,Female,Inner Regional Australia,39
205,16,100,970,Male,Outer Regional Australia,33
206,17,60,1030,Male,Major Cities of Australia,27
209,14,100,840,Male,Outer Regional Australia,60
210,6,100,360,Female,Outer Regional Australia,39
211,6,100,360,Male,Outer Regional Australia,56
212,22,60,1320,Male,Major Cities of Australia,17
213,12,90,720,Male,Inner Regional Australia,49
214,10,100,600,Female,Inner Regional Australia,12
215,10,100,600,Female,Inner Regional Australia,29
216,6,110,410,Male,Inner Regional Australia,44
217,15,110,940,Male,Outer Regional Australia,40
218,15,110,940,Female,Outer Regional Australia,61
219,1,100,83,Male,Outer Regional Australia,19
220,16,60,960,Male,Major Cities of Australia,59
221,16,110,1010,Male,Inner Regional Australia,58
222,9,100,575,Male,Outer Regional Australia,63
223,15,100,900,Female,Outer Regional Australia,54
224,10,100,640,Female,Outer Regional Australia,55
225,15,40,930,Male,Major Cities of Australia,45
226,18,60,1090,Male,Major Cities of Australia,33
227,15,100,900,Male,Outer Regional Australia,59
229,6,60,410,Male,Inner Regional Australia,45
230,17,70,1050,Male,Major Cities of Australia,45
232,15,110,930,Male,Very Remote Australia,49
233,14,100,860,Male,Inner Regional Australia,40
234,15,100,947,Male,Outer Regional Australia,33
235,7,110,420,Male,Outer Regional Australia,7
236,7,110,420,Female,Outer Regional Australia,5
237,13,110,835,Male,Inner Regional Australia,73
238,6,80,395,Male,Major Cities of Australia,66
240,16,100,962,Male,Very Remote Australia,9
241,10,60,600,Female,Major Cities of Australia,79
242,22,50,1335,Male,Outer Regional Australia,55
243,2,80,140,Male,Major Cities of Australia,57
244,4,100,270,Male,Outer Regional Australia,57
245,12,100,720,Female,Inner Regional Australia,79
246,12,50,740,Female,Major Cities of Australia,84
247,16,60,975,Male,Inner Regional Australia,77
248,19,80,1178,Female,Outer Regional Australia,53
249,16,100,960,Female,Inner Regional Australia,24
250,14,110,848,Female,Outer Regional Australia,25
