,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
158,9,60,596,Male,Major Cities of Australia,-9,2021,8,2
159,19,60,1181,Male,Major Cities of Australia,49,2021,8,1
160,19,50,1145,Male,Outer Regional Australia,15,2021,8,1
161,17,80,1020,Male,Major Cities of Australia,16,2021,8,1
162,11,60,660,Female,Major Cities of Australia,63,2021,8,1
163,16,50,965,Male,Major Cities of Australia,80,2021,8,1
165,11,50,697,Female,Outer Regional Australia,79,2021,8,1
166,3,60,180,Male,Major Cities of Australia,77,2021,8,1
167,20,110,1200,Male,Major Cities of Australia,17,2021,8,2
168,2,60,120,Female,Outer Regional Australia,31,2021,7,1
169,2,60,120,Male,Remote Australia,35,2021,7,1
170,2,60,150,Male,Major Cities of Australia,40,2021,7,1
171,19,100,1140,Male,Inner Regional Australia,52,2021,7,1
172,22,110,1320,Male,Outer Regional Australia,19,2021,7,2
173,20,100,1200,Male,Inner Regional Australia,22,2021,7,1
174,23,60,1380,Female,Outer Regional Australia,20,2021,7,2
175,3,100,194,Female,Major Cities of Australia,63,2021,7,2
176,20,70,1200,Male,Inner Regional Australia,17,2021,7,2
178,22,60,1320,Male,Major Cities of Australia,18,2021,7,2
179,3,100,237,Male,Inner Regional Australia,27,2021,7,1
180,18,110,1080,Male,Remote Australia,59,2021,7,2
181,18,110,1080,Male,Remote Australia,45,2021,7,2
182,18,110,1080,Male,Remote Australia,58,2021,7,2
183,4,130,240,Female,Very Remote Australia,30,2021,7,1
184,22,70,1320,Female,Major Cities of Australia,28,2021,7,1
186,1,60,70,Male,Major Cities of Australia,18,2021,7,1
189,1,60,70,Male,Major Cities of Australia,18,2021,7,1
191,20,60,1248,Male,Very Remote Australia,33,2021,7,1
192,20,100,1214,Male,Inner Regional Australia,15,2021,7,2
193,1,70,79,Male,Major Cities of Australia,17,2021,7,1
194,21,80,1260,Male,Major Cities of Australia,31,2021,7,1
196,10,100,600,Female,Outer Regional Australia,60,2021,7,1
197,7,60,457,Female,Outer Regional Australia,51,2021,7,1
198,11,110,672,Female,Outer Regional Australia,46,2021,7,2
199,11,110,672,Male,Outer Regional Australia,46,2021,7,2
201,10,100,600,Male,Inner Regional Australia,55,2021,7,1
202,13,110,809,Male,Outer Regional Australia,67,2021,7,1
204,11,100,660,Female,Inner Regional Australia,39,2021,7,1
205,16,100,970,Male,Outer Regional Australia,33,2021,7,1
206,17,60,1030,Male,Major Cities of Australia,27,2021,7,2
209,14,100,840,Male,Outer Regional Australia,60,2021,7,2
210,6,100,360,Female,Outer Regional Australia,39,2021,7,2
211,6,100,360,Male,Outer Regional Australia,56,2021,7,2
212,22,60,1320,Male,Major Cities of Australia,17,2021,7,2
213,12,90,720,Male,Inner Regional Australia,49,2021,7,2
214,10,100,600,Female,Inner Regional Australia,12,2021,7,2
215,10,100,600,Female,Inner Regional Australia,29,2021,7,2
216,6,110,410,Male,Inner Regional Australia,44,2021,7,1
217,15,110,940,Male,Outer Regional Australia,40,2021,7,1
218,15,110,940,Female,Outer Regional Australia,61,2021,7,1
219,1,100,83,Male,Outer Regional Australia,19,2021,7,1
220,16,60,960,Male,Major Cities of Australia,59,2021,7,1
221,16,110,1010,Male,Inner Regional Australia,58,2021,7,2
222,9,100,575,Male,Outer Regional Australia,63,2021,7,1
223,15,100,900,Female,Outer Regional Australia,54,2021,7,1
224,10,100,640,Female,Outer Regional Australia,55,2021,7,2
225,15,40,930,Male,Major Cities of Australia,45,2021,7,2
226,18,60,1090,Male,Major Cities of Australia,33,2021,7,1
227,15,100,900,Male,Outer Regional Australia,59,2021,7,1
229,6,60,410,Male,Inner Regional Australia,45,2021,7,1
230,17,70,1050,Male,Major Cities of Australia,45,2021,7,2
232,15,110,930,Male,Very Remote Australia,49,2021,7,1
233,14,100,860,Male,Inner Regional Australia,40,2021,7,1
234,15,100,947,Male,Outer Regional Australia,33,2021,7,2
235,7,110,420,Male,Outer Regional Australia,7,2021,7,2
236,7,110,420,Female,Outer Regional Australia,5,2021,7,2
237,13,110,835,Male,Inner Regional Australia,73,2021,7,1
238,6,80,395,Male,Major Cities of Australia,66,2021,7,1
240,16,100,962,Male,Very Remote Australia,9,2021,7,1
241,10,60,600,Female,Major Cities of Australia,79,2021,7,2
242,22,50,1335,Male,Outer Regional Australia,55,2021,7,1
243,2,80,140,Male,Major Cities of Australia,57,2021,7,2
244,4,100,270,Male,Outer Regional Australia,57,2021,7,1
