,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
2102,18,60,1080,Male,Major Cities of Australia,23,2019,11,2
2103,15,80,910,Female,Inner Regional Australia,72,2019,11,1
2104,14,110,840,Female,Outer Regional Australia,69,2019,11,1
2105,9,100,552,Male,Outer Regional Australia,71,2019,11,1
2106,15,100,910,Male,Outer Regional Australia,74,2019,11,2
2107,15,100,910,Male,Outer Regional Australia,72,2019,11,2
2108,10,100,615,Female,Inner Regional Australia,72,2019,11,2
2109,21,80,1278,Male,Major Cities of Australia,29,2019,11,2
2110,11,110,705,Male,Remote Australia,77,2019,11,1
2111,23,60,1400,Male,Major Cities of Australia,29,2019,11,1
2112,10,100,605,Male,Outer Regional Australia,86,2019,11,2
2113,15,80,940,Male,Major Cities of Australia,80,2019,11,2
2114,10,100,640,Male,Outer Regional Australia,85,2019,11,2
2115,17,110,1035,Male,Outer Regional Australia,78,2019,11,2
2116,16,60,970,Male,Major Cities of Australia,97,2019,11,1
2117,10,100,615,Male,Inner Regional Australia,82,2019,11,2
2118,12,50,750,Male,Inner Regional Australia,88,2019,11,1
2119,20,50,1255,Male,Major Cities of Australia,56,2019,11,1
2120,23,80,1405,Male,Major Cities of Australia,62,2019,11,1
2121,3,80,203,Female,Inner Regional Australia,21,2019,11,1
2122,19,60,1171,Female,Major Cities of Australia,65,2019,11,1
2123,16,100,995,Male,Major Cities of Australia,54,2019,11,1
2124,12,70,730,Male,Major Cities of Australia,76,2019,11,1
2125,19,70,1170,Male,Major Cities of Australia,51,2019,11,1
2126,10,40,650,Male,Major Cities of Australia,80,2019,11,1
2127,15,40,929,Female,Major Cities of Australia,35,2019,11,2
2128,5,100,340,Male,Inner Regional Australia,27,2019,10,1
2129,2,60,136,Male,Inner Regional Australia,21,2019,10,1
2130,22,50,1329,Female,Major Cities of Australia,19,2019,10,1
2131,19,100,1140,Female,Outer Regional Australia,16,2019,10,2
2132,22,100,1340,Female,Inner Regional Australia,29,2019,10,1
2133,4,100,270,Male,Outer Regional Australia,35,2019,10,1
2134,19,100,1140,Male,Outer Regional Australia,18,2019,10,1
2135,18,100,1129,Male,Inner Regional Australia,35,2019,10,2
2136,19,50,1170,Male,Major Cities of Australia,31,2019,10,2
2137,19,50,1175,Male,Outer Regional Australia,23,2019,10,1
2138,22,50,1329,Male,Major Cities of Australia,16,2019,10,1
2139,0,70,5,Male,Outer Regional Australia,24,2019,10,1
2140,22,110,1336,Male,Inner Regional Australia,29,2019,10,1
2141,1,50,60,Male,Major Cities of Australia,15,2019,10,1
2142,18,80,1115,Male,Very Remote Australia,49,2019,10,1
2143,19,100,1140,Male,Outer Regional Australia,19,2019,10,2
2144,10,50,600,Male,Inner Regional Australia,30,2019,10,2
2145,11,100,705,Male,Inner Regional Australia,59,2019,10,1
2146,10,100,630,Female,Outer Regional Australia,46,2019,10,1
2147,12,60,770,Male,Major Cities of Australia,49,2019,10,1
2148,22,100,1320,Male,Inner Regional Australia,18,2019,10,1
2149,13,100,785,Male,Inner Regional Australia,25,2019,10,2
2150,13,100,785,Female,Inner Regional Australia,61,2019,10,2
2151,11,60,660,Male,Major Cities of Australia,38,2019,10,2
2152,16,80,960,Male,Inner Regional Australia,36,2019,10,1
2153,6,110,380,Male,Outer Regional Australia,36,2019,10,1
2154,15,110,900,Male,Outer Regional Australia,63,2019,10,2
2155,11,80,660,Male,Inner Regional Australia,48,2019,10,1
2156,17,100,1070,Female,Inner Regional Australia,61,2019,10,1
2157,13,100,825,Male,Inner Regional Australia,55,2019,10,2
2158,18,100,1122,Female,Inner Regional Australia,32,2019,10,2
2159,16,100,1005,Male,Outer Regional Australia,42,2019,10,1
2160,15,80,959,Male,Major Cities of Australia,67,2019,10,2
2161,11,80,705,Female,Inner Regional Australia,68,2019,10,2
2162,23,70,1380,Male,Major Cities of Australia,40,2019,10,2
2163,16,100,960,Male,Outer Regional Australia,80,2019,10,1
2164,21,100,1260,Male,Outer Regional Australia,60,2019,10,2
2165,21,100,1260,Male,Outer Regional Australia,62,2019,10,2
2166,17,80,1050,Male,Inner Regional Australia,42,2019,10,2
2167,9,60,555,Male,Major Cities of Australia,21,2019,10,2
2168,3,100,180,Male,Inner Regional Australia,52,2019,10,1
2169,8,100,504,Female,Major Cities of Australia,20,2019,10,2
2170,7,100,435,Male,Outer Regional Australia,25,2019,10,1
2171,11,100,660,Male,Remote Australia,25,2019,10,1
2172,12,100,723,Male,Inner Regional Australia,64,2019,10,2
2173,14,60,895,Female,Major Cities of Australia,64,2019,10,2
2174,8,110,490,Male,Inner Regional Australia,17,2019,10,1
2175,19,80,1140,Male,Outer Regional Australia,79,2019,10,1
2176,11,80,660,Male,Major Cities of Australia,36,2019,10,2
2177,11,80,660,Male,Major Cities of Australia,32,2019,10,2
2178,15,100,900,Male,Major Cities of Australia,35,2019,10,2
2179,10,100,630,Male,Inner Regional Australia,37,2019,10,1
2180,7,110,460,Male,Outer Regional Australia,36,2019,10,2
2181,17,110,1049,Female,Very Remote Australia,28,2019,10,1
2182,17,80,1050,Male,Inner Regional Australia,35,2019,10,2
2183,6,80,400,Male,Inner Regional Australia,28,2019,10,2
2184,10,50,613,Female,Inner Regional Australia,26,2019,10,1
2185,7,100,450,Male,Remote Australia,59,2019,10,2
2186,14,50,845,Female,Major Cities of Australia,59,2019,10,2
2187,16,80,960,Male,Inner Regional Australia,51,2019,10,2
2188,19,60,1140,Male,Outer Regional Australia,5,2019,10,2
2189,11,110,693,Male,Inner Regional Australia,47,2019,10,1
2190,12,80,753,Male,Major Cities of Australia,55,2019,10,2
2191,7,100,420,Male,Remote Australia,45,2019,10,2
2192,3,100,200,Male,Outer Regional Australia,27,2019,10,1
2193,19,100,1150,Male,Inner Regional Australia,47,2019,10,1
2194,11,100,660,Male,Outer Regional Australia,54,2019,10,1
2195,16,100,967,Male,Outer Regional Australia,56,2019,10,2
2196,0,50,0,Male,Inner Regional Australia,24,2019,10,2
2197,15,50,900,Male,Major Cities of Australia,51,2019,10,2
2198,14,80,860,Male,Inner Regional Australia,67,2019,10,1
2199,12,80,765,Male,Inner Regional Australia,69,2019,10,1
2200,8,100,480,Female,Inner Regional Australia,65,2019,10,2
2201,22,110,1336,Male,Inner Regional Australia,25,2019,10,1
2202,9,100,540,Male,Inner Regional Australia,69,2019,10,2
2203,16,110,960,Male,Major Cities of Australia,72,2019,10,2
2204,15,100,922,Female,Major Cities of Australia,68,2019,10,2
2205,15,100,922,Male,Major Cities of Australia,69,2019,10,2
2206,11,100,664,Male,Inner Regional Australia,65,2019,10,1
2207,20,100,1250,Female,Inner Regional Australia,22,2019,10,2
2208,9,10,546,Female,Major Cities of Australia,80,2019,10,1
2209,22,60,1320,Male,Major Cities of Australia,32,2019,10,1
2210,7,60,420,Female,Major Cities of Australia,78,2019,10,2
2211,23,110,1420,Male,Major Cities of Australia,28,2019,10,1
2212,2,60,120,Male,Major Cities of Australia,29,2019,10,1
2213,21,100,1266,Female,Major Cities of Australia,64,2019,10,2
2214,7,100,443,Male,Major Cities of Australia,76,2019,10,2
2215,0,110,30,Male,Remote Australia,42,2019,10,2
2216,3,80,185,Male,Inner Regional Australia,20,2019,10,1
2217,22,70,1320,Male,Major Cities of Australia,27,2019,10,1
2218,14,50,840,Female,Inner Regional Australia,2,2019,10,1
2219,22,70,1340,Male,Inner Regional Australia,31,2019,10,1
2220,23,80,1391,Female,Major Cities of Australia,59,2019,10,1
2221,10,100,637,Male,Inner Regional Australia,57,2019,10,1
2222,20,60,1250,Male,Major Cities of Australia,78,2019,10,1
2223,12,60,720,Male,Major Cities of Australia,21,2019,10,1
2224,0,50,10,Male,Inner Regional Australia,51,2019,10,1
2225,6,50,405,Female,Major Cities of Australia,81,2019,10,1
2226,17,60,1020,Male,Inner Regional Australia,86,2019,10,1
2227,5,60,345,Male,Major Cities of Australia,36,2019,10,1
2228,6,50,360,Female,Outer Regional Australia,38,2019,10,1
2229,23,50,1425,Male,Inner Regional Australia,19,2019,9,1
2230,19,80,1188,Female,Major Cities of Australia,19,2019,9,2
2231,19,80,1188,Male,Major Cities of Australia,21,2019,9,2
2232,21,100,1315,Male,Inner Regional Australia,17,2019,9,1
2233,21,100,1315,Male,Inner Regional Australia,18,2019,9,1
2234,4,100,240,Male,Outer Regional Australia,43,2019,9,1
2235,20,100,1200,Male,Very Remote Australia,30,2019,9,1
2236,23,70,1410,Female,Major Cities of Australia,25,2019,9,2
2237,20,60,1238,Male,Major Cities of Australia,35,2019,9,2
2238,20,110,1215,Male,Very Remote Australia,57,2019,9,1
2239,21,50,1294,Male,Major Cities of Australia,68,2019,9,2
2240,5,100,300,Male,Outer Regional Australia,30,2019,9,2
2241,19,100,1140,Male,Inner Regional Australia,42,2019,9,1
2242,2,70,148,Female,Major Cities of Australia,45,2019,9,2
2243,22,110,1340,Male,Outer Regional Australia,53,2019,9,2
2244,12,50,775,Female,Major Cities of Australia,32,2019,9,1
2245,17,100,1050,Male,Inner Regional Australia,51,2019,9,1
2246,15,100,900,Male,Inner Regional Australia,17,2019,9,1
2247,21,100,1260,Male,Major Cities of Australia,19,2019,9,1
2248,12,100,735,Male,Inner Regional Australia,18,2019,9,1
2249,11,60,700,Male,Major Cities of Australia,55,2019,9,2
2250,15,100,900,Male,Inner Regional Australia,19,2019,9,2
2251,11,60,667,Female,Major Cities of Australia,22,2019,9,1
2252,12,80,720,Male,Outer Regional Australia,22,2019,9,1
2253,16,80,960,Male,Inner Regional Australia,24,2019,9,2
2254,9,100,540,Female,Inner Regional Australia,23,2019,9,1
2255,13,100,831,Female,Outer Regional Australia,24,2019,9,2
2256,13,100,831,Female,Outer Regional Australia,23,2019,9,2
2257,11,60,667,Male,Major Cities of Australia,33,2019,9,1
2258,8,100,480,Male,Inner Regional Australia,62,2019,9,2
2259,13,50,820,Male,Major Cities of Australia,46,2019,9,1
2260,14,50,859,Male,Outer Regional Australia,60,2019,9,2
2261,14,100,860,Male,Inner Regional Australia,47,2019,9,2
2262,11,80,705,Female,Inner Regional Australia,79,2019,9,2
2263,11,80,705,Male,Inner Regional Australia,80,2019,9,2
2264,13,80,810,Male,Outer Regional Australia,79,2019,9,2
2265,15,100,925,Male,Inner Regional Australia,39,2019,9,2
2266,17,80,1025,Male,Inner Regional Australia,17,2019,9,1
2267,13,60,832,Male,Major Cities of Australia,23,2019,9,1
2269,14,100,880,Female,Inner Regional Australia,23,2019,9,2
2270,19,100,1180,Male,Inner Regional Australia,72,2019,9,1
2271,14,100,880,Male,Inner Regional Australia,39,2019,9,2
2272,6,80,390,Male,Inner Regional Australia,31,2019,9,1
2273,12,80,720,Male,Major Cities of Australia,19,2019,9,1
2274,15,50,905,Male,Inner Regional Australia,62,2019,9,1
2275,10,70,650,Male,Major Cities of Australia,55,2019,9,2
2276,10,60,652,Male,Major Cities of Australia,23,2019,9,1
2277,9,110,549,Male,Very Remote Australia,19,2019,9,1
2279,16,80,1015,Female,Inner Regional Australia,34,2019,9,2
2280,11,100,660,Male,Outer Regional Australia,34,2019,9,2
2281,15,70,900,Male,Major Cities of Australia,31,2019,9,1
2282,0,70,0,Male,Major Cities of Australia,19,2019,9,2
2283,2,60,120,Male,Major Cities of Australia,24,2019,9,2
2284,15,60,945,Male,Major Cities of Australia,43,2019,9,1
2285,21,110,1300,Male,Outer Regional Australia,19,2019,9,1
2286,10,50,615,Female,Inner Regional Australia,51,2019,9,1
2287,13,100,780,Male,Inner Regional Australia,53,2019,9,2
2288,13,110,780,Male,Remote Australia,61,2019,9,2
2289,7,100,420,Female,Outer Regional Australia,62,2019,9,2
2290,20,50,1215,Female,Inner Regional Australia,49,2019,9,1
2291,6,110,375,Male,Very Remote Australia,43,2019,9,1
2292,12,100,720,Male,Outer Regional Australia,63,2019,9,1
2293,16,100,960,Female,Outer Regional Australia,62,2019,9,2
2294,10,50,624,Male,Inner Regional Australia,57,2019,9,2
2295,12,100,729,Male,Outer Regional Australia,65,2019,9,2
2296,13,100,834,Male,Outer Regional Australia,70,2019,9,1
2297,12,110,746,Male,Inner Regional Australia,72,2019,9,2
2298,9,100,570,Male,Inner Regional Australia,68,2019,9,2
2299,20,50,1245,Male,Major Cities of Australia,41,2019,9,2
2300,15,100,930,Male,Outer Regional Australia,65,2019,9,1
2301,12,80,723,Female,Outer Regional Australia,69,2019,9,1
2302,10,60,645,Female,Major Cities of Australia,72,2019,9,2
2303,16,100,960,Female,Outer Regional Australia,74,2019,9,2
2304,9,100,540,Male,Inner Regional Australia,76,2019,9,1
2305,8,60,480,Male,Major Cities of Australia,78,2019,9,2
2306,10,60,617,Male,Major Cities of Australia,83,2019,9,1
2307,4,100,290,Male,Outer Regional Australia,36,2019,9,2
2308,1,60,80,Male,Major Cities of Australia,41,2019,9,1
2309,18,50,1096,Male,Major Cities of Australia,42,2019,9,1
2310,11,110,705,Female,Outer Regional Australia,85,2019,9,1
2311,13,100,790,Female,Inner Regional Australia,85,2019,9,1
2313,11,80,660,Male,Inner Regional Australia,23,2019,9,1
2314,20,50,1202,Male,Major Cities of Australia,52,2019,9,1
2315,8,40,515,Male,Major Cities of Australia,12,2019,9,1
2316,21,50,1285,Female,Major Cities of Australia,70,2019,9,1
2317,0,60,0,Male,Outer Regional Australia,20,2019,9,1
2318,10,50,610,Female,Major Cities of Australia,74,2019,9,1
2319,18,80,1080,Male,Major Cities of Australia,38,2019,9,1
2320,19,80,1140,Female,Outer Regional Australia,29,2019,9,1
2321,19,110,1155,Male,Inner Regional Australia,52,2019,8,1
2322,23,100,1430,Male,Very Remote Australia,34,2019,8,1
2323,22,80,1320,Male,Major Cities of Australia,20,2019,8,1
2324,18,50,1106,Male,Inner Regional Australia,47,2019,8,2
2325,0,90,1,Male,Inner Regional Australia,25,2019,8,1
2326,23,100,1380,Male,Outer Regional Australia,24,2019,8,1
2327,23,60,1429,Male,Major Cities of Australia,47,2019,8,1
2328,21,80,1280,Male,Major Cities of Australia,22,2019,8,1
2329,19,50,1171,Male,Major Cities of Australia,41,2019,8,2
2330,2,80,170,Male,Remote Australia,5,2019,8,1
2331,0,60,2,Female,Major Cities of Australia,22,2019,8,1
2332,3,110,237,Female,Very Remote Australia,34,2019,8,1
2333,3,100,180,Male,Inner Regional Australia,35,2019,8,1
2334,18,110,1100,Male,Outer Regional Australia,37,2019,8,2
2335,4,80,270,Male,Outer Regional Australia,20,2019,8,1
2336,19,60,1160,Male,Major Cities of Australia,37,2019,8,2
2337,5,60,300,Male,Inner Regional Australia,24,2019,8,1
2338,13,80,780,Male,Major Cities of Australia,34,2019,8,2
2339,17,110,1030,Female,Very Remote Australia,35,2019,8,1
2340,17,110,1030,Female,Very Remote Australia,36,2019,8,1
2341,16,80,975,Male,Major Cities of Australia,16,2019,8,2
2342,15,110,957,Female,Very Remote Australia,12,2019,8,1
2343,16,80,975,Female,Major Cities of Australia,18,2019,8,2
2344,21,110,1270,Male,Inner Regional Australia,34,2019,8,1
2345,6,60,369,Male,Major Cities of Australia,24,2019,8,1
2346,13,110,810,Male,Very Remote Australia,27,2019,8,1
2347,17,100,1020,Male,Remote Australia,35,2019,8,1
2348,14,100,840,Female,Outer Regional Australia,26,2019,8,1
2349,18,110,1110,Male,Outer Regional Australia,32,2019,8,1
2350,15,70,900,Male,Inner Regional Australia,47,2019,8,1
2351,9,100,540,Female,Outer Regional Australia,52,2019,8,2
2352,13,110,800,Male,Inner Regional Australia,60,2019,8,2
2353,12,80,730,Male,Outer Regional Australia,64,2019,8,1
2354,10,60,600,Male,Major Cities of Australia,42,2019,8,1
2355,17,50,1064,Male,Outer Regional Australia,44,2019,8,2
2356,12,80,720,Male,Very Remote Australia,68,2019,8,2
2357,13,80,825,Male,Outer Regional Australia,73,2019,8,2
2358,16,50,1010,Male,Major Cities of Australia,81,2019,8,2
2359,5,100,300,Male,Very Remote Australia,61,2019,8,2
2360,15,110,910,Male,Inner Regional Australia,43,2019,8,1
2361,8,100,480,Female,Very Remote Australia,55,2019,8,1
2362,12,60,768,Female,Major Cities of Australia,9,2019,8,1
2363,14,110,872,Male,Inner Regional Australia,41,2019,8,1
2364,9,60,549,Male,Inner Regional Australia,23,2019,8,2
2365,9,60,540,Male,Major Cities of Australia,18,2019,8,1
2366,19,80,1170,Male,Inner Regional Australia,88,2019,8,2
2367,15,80,934,Female,Major Cities of Australia,93,2019,8,2
2368,15,110,950,Female,Very Remote Australia,21,2019,8,1
2369,17,50,1070,Male,Major Cities of Australia,18,2019,8,2
2370,8,50,510,Male,Major Cities of Australia,17,2019,8,2
2371,21,50,1315,Female,Major Cities of Australia,81,2019,8,2
2372,21,50,1315,Male,Major Cities of Australia,83,2019,8,2
2373,17,80,1075,Female,Very Remote Australia,26,2019,8,1
2374,20,60,1240,Male,Major Cities of Australia,17,2019,8,1
2375,14,70,850,Male,Major Cities of Australia,30,2019,8,2
2376,11,110,700,Male,Inner Regional Australia,26,2019,8,2
2377,12,100,745,Male,Inner Regional Australia,53,2019,8,2
2378,16,110,960,Male,Outer Regional Australia,59,2019,8,1
2379,11,110,665,Male,Major Cities of Australia,51,2019,8,2
2380,12,80,720,Male,Outer Regional Australia,43,2019,8,1
2381,14,100,840,Female,Inner Regional Australia,47,2019,8,1
2382,1,50,95,Male,Inner Regional Australia,23,2019,8,1
2383,20,80,1200,Male,Inner Regional Australia,18,2019,8,1
2384,14,100,885,Male,Inner Regional Australia,50,2019,8,1
2385,11,110,700,Male,Inner Regional Australia,64,2019,8,2
2386,12,100,720,Female,Inner Regional Australia,63,2019,8,2
2387,21,60,1266,Male,Major Cities of Australia,23,2019,8,2
2388,15,50,957,Female,Major Cities of Australia,52,2019,8,1
2389,7,90,470,Female,Inner Regional Australia,68,2019,8,2
2390,13,100,780,Female,Inner Regional Australia,69,2019,8,1
2391,9,80,540,Male,Inner Regional Australia,66,2019,8,1
2392,14,80,840,Male,Inner Regional Australia,71,2019,8,1
2393,13,80,810,Male,Inner Regional Australia,71,2019,8,1
2394,15,40,926,Male,Major Cities of Australia,68,2019,8,1
2395,13,80,780,Female,Inner Regional Australia,74,2019,8,2
2396,16,100,960,Male,Inner Regional Australia,77,2019,8,2
2397,7,60,445,Male,Major Cities of Australia,84,2019,8,2
2398,1,110,60,Male,Major Cities of Australia,33,2019,8,1
2399,14,100,840,Female,Major Cities of Australia,78,2019,8,1
2400,2,80,170,Male,Remote Australia,27,2019,8,1
2401,9,100,540,Male,Outer Regional Australia,90,2019,8,2
2402,18,100,1080,Male,Inner Regional Australia,58,2019,8,2
2403,19,110,1169,Male,Remote Australia,61,2019,8,1
2404,15,80,951,Male,Inner Regional Australia,89,2019,8,1
2405,14,60,863,Male,Outer Regional Australia,85,2019,8,1
2407,22,60,1370,Male,Inner Regional Australia,25,2019,8,1
2408,21,80,1306,Female,Major Cities of Australia,20,2019,8,1
2409,18,50,1135,Male,Major Cities of Australia,45,2019,8,1
2410,18,60,1080,Male,Inner Regional Australia,45,2019,8,1
2411,12,60,724,Male,Major Cities of Australia,82,2019,8,1
2412,22,70,1367,Male,Major Cities of Australia,47,2019,8,1
2413,18,60,1080,Male,Inner Regional Australia,58,2019,8,1
2414,16,70,965,Male,Major Cities of Australia,20,2019,8,1
2415,20,60,1200,Male,Inner Regional Australia,76,2019,8,1
2416,10,25,600,Female,Major Cities of Australia,31,2019,8,1
2417,12,50,730,Male,Inner Regional Australia,76,2019,8,1
2418,12,40,773,Male,Major Cities of Australia,88,2019,8,1
2419,8,40,480,Female,Major Cities of Australia,81,2019,8,1
2420,20,70,1250,Male,Major Cities of Australia,18,2019,7,2
2421,0,110,20,Male,Inner Regional Australia,34,2019,7,1
2422,23,80,1422,Male,Major Cities of Australia,25,2019,7,2
2423,21,90,1300,Male,Inner Regional Australia,34,2019,7,1
2424,3,100,210,Female,Inner Regional Australia,22,2019,7,1
2425,3,100,210,Male,Inner Regional Australia,21,2019,7,1
2426,2,60,160,Male,Major Cities of Australia,63,2019,7,2
2427,22,50,1350,Male,Major Cities of Australia,51,2019,7,1
2428,21,50,1285,Male,Major Cities of Australia,48,2019,7,1
2429,2,100,125,Male,Outer Regional Australia,60,2019,7,2
2430,23,110,1424,Male,Remote Australia,51,2019,7,1
2431,0,50,0,Male,Major Cities of Australia,19,2019,7,2
2432,10,100,600,Male,Outer Regional Australia,25,2019,7,2
2433,16,60,960,Male,Major Cities of Australia,25,2019,7,1
2434,18,80,1080,Male,Inner Regional Australia,18,2019,7,2
2435,16,100,966,Male,Inner Regional Australia,30,2019,7,1
2436,17,100,1070,Male,Inner Regional Australia,6,2019,7,1
2437,16,80,1010,Male,Inner Regional Australia,22,2019,7,1
2438,18,90,1080,Male,Inner Regional Australia,33,2019,7,2
2439,13,70,780,Male,Major Cities of Australia,31,2019,7,2
2440,9,80,590,Male,Inner Regional Australia,27,2019,7,1
2441,15,100,940,Male,Inner Regional Australia,26,2019,7,2
2442,4,100,240,Male,Major Cities of Australia,28,2019,7,1
2443,8,50,480,Male,Inner Regional Australia,34,2019,7,1
2444,10,100,600,Female,Outer Regional Australia,56,2019,7,2
2445,7,100,420,Male,Outer Regional Australia,53,2019,7,2
2446,0,60,18,Male,Major Cities of Australia,28,2019,7,2
2447,11,60,660,Female,Inner Regional Australia,46,2019,7,1
2448,16,80,1001,Male,Major Cities of Australia,40,2019,7,2
2449,15,70,945,Female,Major Cities of Australia,72,2019,7,1
2450,0,110,1,Male,Remote Australia,56,2019,7,1
2451,8,70,520,Female,Major Cities of Australia,79,2019,7,2
2452,9,100,540,Male,Outer Regional Australia,60,2019,7,2
2453,16,50,981,Male,Outer Regional Australia,52,2019,7,1
2454,15,100,900,Male,Inner Regional Australia,16,2019,7,1
2455,19,100,1140,Male,Very Remote Australia,72,2019,7,2
2456,14,80,896,Female,Inner Regional Australia,29,2019,7,1
2457,15,80,929,Male,Inner Regional Australia,24,2019,7,1
2458,15,100,900,Male,Inner Regional Australia,19,2019,7,1
2459,8,80,497,Male,Major Cities of Australia,22,2019,7,2
2460,17,110,1027,Male,Very Remote Australia,22,2019,7,1
2461,7,100,420,Male,Very Remote Australia,26,2019,7,1
2462,7,100,420,Male,Very Remote Australia,33,2019,7,1
2463,6,100,367,Male,Very Remote Australia,36,2019,7,1
2464,17,60,1020,Male,Major Cities of Australia,28,2019,7,2
2465,14,100,860,Male,Inner Regional Australia,46,2019,7,1
2466,8,110,527,Male,Remote Australia,43,2019,7,1
2467,6,110,390,Male,Inner Regional Australia,48,2019,7,2
2468,12,110,720,Male,Inner Regional Australia,46,2019,7,2
2469,16,110,1000,Male,Very Remote Australia,42,2019,7,1
2470,16,80,960,Male,Inner Regional Australia,50,2019,7,2
2471,6,50,380,Male,Inner Regional Australia,52,2019,7,1
2472,16,80,1006,Female,Outer Regional Australia,51,2019,7,2
2473,11,60,680,Female,Major Cities of Australia,58,2019,7,2
2474,11,60,680,Male,Major Cities of Australia,64,2019,7,2
2475,6,80,400,Male,Major Cities of Australia,49,2019,7,2
2476,11,110,710,Female,Outer Regional Australia,67,2019,7,2
2477,4,80,265,Male,Major Cities of Australia,27,2019,7,1
2478,9,80,555,Male,Inner Regional Australia,90,2019,7,2
2479,18,70,1080,Male,Inner Regional Australia,33,2019,7,2
2480,0,100,5,Male,Inner Regional Australia,38,2019,7,2
2481,14,100,875,Male,Outer Regional Australia,86,2019,7,1
2482,16,80,975,Male,Inner Regional Australia,87,2019,7,2
2483,17,50,1055,Female,Major Cities of Australia,78,2019,7,2
2484,15,100,900,Male,Outer Regional Australia,84,2019,7,1
2485,23,100,1430,Male,Inner Regional Australia,51,2019,7,1
2486,11,100,660,Female,Inner Regional Australia,75,2019,7,2
2487,5,100,300,Male,Inner Regional Australia,52,2019,7,2
2488,15,60,950,Female,Inner Regional Australia,86,2019,7,2
2489,4,50,285,Female,Outer Regional Australia,43,2019,7,1
2490,12,50,730,Female,Inner Regional Australia,1,2019,7,1
2491,0,80,40,Male,Major Cities of Australia,26,2019,7,1
2492,17,60,1050,Female,Major Cities of Australia,81,2019,7,1
2493,17,50,1065,Male,Major Cities of Australia,88,2019,7,1
2494,16,80,977,Male,Major Cities of Australia,14,2019,7,1
2495,13,60,836,Female,Major Cities of Australia,75,2019,7,1
2496,18,60,1130,Male,Major Cities of Australia,80,2019,7,2
2497,23,110,1410,Male,Outer Regional Australia,49,2019,7,1
2498,3,50,195,Male,Inner Regional Australia,37,2019,7,1
2499,18,50,1136,Female,Major Cities of Australia,29,2019,7,1
2500,19,60,1175,Male,Major Cities of Australia,61,2019,7,1
2501,5,60,332,Female,Major Cities of Australia,72,2019,7,1
2502,18,60,1080,Female,Major Cities of Australia,92,2019,7,1
2503,18,50,1101,Female,Inner Regional Australia,95,2019,7,1
2504,23,100,1380,Male,Outer Regional Australia,62,2019,6,1
2505,0,100,45,Male,Inner Regional Australia,22,2019,6,2
2506,1,110,80,Male,Very Remote Australia,23,2019,6,2
2507,1,60,90,Male,Inner Regional Australia,25,2019,6,1
2508,19,100,1170,Female,Outer Regional Australia,34,2019,6,1
2509,5,110,303,Male,Remote Australia,20,2019,6,2
2510,19,100,1175,Male,Inner Regional Australia,37,2019,6,1
2511,1,50,71,Male,Major Cities of Australia,35,2019,6,1
2512,3,60,180,Male,Outer Regional Australia,19,2019,6,1
2513,5,60,355,Male,Inner Regional Australia,22,2019,6,1
2514,20,110,1200,Male,Very Remote Australia,35,2019,6,1
2515,23,110,1384,Male,Major Cities of Australia,28,2019,6,1
2516,21,80,1283,Male,Inner Regional Australia,42,2019,6,1
2517,0,110,30,Male,Inner Regional Australia,47,2019,6,1
2518,0,110,30,Male,Inner Regional Australia,47,2019,6,1
2519,19,40,1180,Male,Major Cities of Australia,48,2019,6,2
2520,22,110,1335,Male,Very Remote Australia,65,2019,6,2
2521,20,50,1200,Male,Major Cities of Australia,25,2019,6,2
2522,1,110,80,Male,Outer Regional Australia,44,2019,6,1
2523,17,100,1030,Male,Inner Regional Australia,25,2019,6,1
2524,14,110,880,Female,Remote Australia,4,2019,6,1
2525,12,100,775,Male,Inner Regional Australia,21,2019,6,1
2526,18,110,1095,Male,Outer Regional Australia,22,2019,6,2
2527,12,70,720,Male,Major Cities of Australia,56,2019,6,2
2528,12,70,720,Male,Major Cities of Australia,22,2019,6,2
2529,8,100,507,Female,Outer Regional Australia,17,2019,6,2
2530,2,50,120,Male,Remote Australia,31,2019,6,1
2531,12,100,740,Male,Outer Regional Australia,59,2019,6,1
2532,5,100,345,Male,Outer Regional Australia,28,2019,6,1
2533,8,100,480,Male,Inner Regional Australia,60,2019,6,2
2534,8,100,480,Female,Inner Regional Australia,62,2019,6,2
2535,8,100,480,Female,Inner Regional Australia,63,2019,6,2
2536,17,100,1020,Male,Inner Regional Australia,68,2019,6,1
2537,16,80,982,Female,Major Cities of Australia,71,2019,6,2
2538,11,110,660,Male,Remote Australia,79,2019,6,1
2539,17,50,1025,Male,Major Cities of Australia,37,2019,6,2
2540,16,60,1005,Male,Major Cities of Australia,30,2019,6,2
2541,10,100,600,Female,Outer Regional Australia,16,2019,6,1
2542,12,60,731,Male,Inner Regional Australia,18,2019,6,2
2543,6,110,380,Male,Outer Regional Australia,46,2019,6,1
2544,7,100,437,Male,Outer Regional Australia,56,2019,6,2
2545,6,70,403,Male,Major Cities of Australia,20,2019,6,2
2546,18,110,1125,Male,Remote Australia,74,2019,6,2
2547,6,80,407,Male,Inner Regional Australia,24,2019,6,2
2548,13,100,810,Male,Inner Regional Australia,52,2019,6,1
2549,15,50,931,Male,Major Cities of Australia,93,2019,6,1
2550,16,100,980,Male,Inner Regional Australia,62,2019,6,2
2551,20,110,1250,Male,Inner Regional Australia,76,2019,6,2
2552,15,110,910,Male,Inner Regional Australia,39,2019,6,2
2553,6,110,418,Male,Remote Australia,27,2019,6,2
